epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4052,6.96157,40.7625,4.42319,0,0,0,0,2.01748,19.0938,1.18083,0.0003,0.0003,0.0003
2,26.2628,6.66228,27.2005,4.1655,0,0,0,0,1.70609,18.9375,1.00354,0.000617954,0.000617954,0.000617954
3,33.7783,5.11934,6.45544,3.50214,0,0,0,0,0.80718,18.5,0.48667,0.000933796,0.000933796,0.000933796
4,40.534,4.22581,3.75048,2.93645,0,0,0,0,0.11482,18.1406,0.07267,0.00124753,0.00124753,0.00124753
5,47.8632,3.75979,2.59142,2.55748,0,0,0,0,0.00484,15.625,0.00325,0.00155914,0.00155914,0.00155914
6,55.8281,3.40345,2.11028,2.41296,0,0,0,0,1e-05,4.03516,1e-05,0.00186865,0.00186865,0.00186865
7,62.4487,3.16976,1.86107,2.30954,0.33199,0.17857,0.22304,0.07077,2.78226,2.48792,2.33764,0.0019604,0.0019604,0.0019604
8,69.8191,3.14871,1.81598,2.27765,0.24118,0.60714,0.27644,0.08312,2.72099,1.59983,2.2693,0.0019538,0.0019538,0.0019538
9,76.4081,3.00177,1.67274,2.28509,0.48364,0.64286,0.48638,0.17567,2.64994,1.61354,2.18393,0.0019472,0.0019472,0.0019472
10,84.1015,3.06912,1.67693,2.2577,0.4174,0.75,0.4803,0.17253,2.51204,1.43388,2.13272,0.0019406,0.0019406,0.0019406
11,90.5222,2.8744,1.54767,2.20844,0.51055,0.5,0.41639,0.12453,2.48644,1.87866,2.15812,0.001934,0.001934,0.001934
12,97.74,2.80877,1.51214,2.1432,0.6065,0.60557,0.69603,0.20666,2.36819,1.56079,2.10095,0.0019274,0.0019274,0.0019274
13,104.387,2.776,1.4812,2.11695,0.27127,0.35714,0.20316,0.05314,2.80648,2.08124,2.24967,0.0019208,0.0019208,0.0019208
14,111.517,2.66028,1.46021,2.0775,0.58527,0.60487,0.65534,0.21406,2.48516,1.44842,2.05231,0.0019142,0.0019142,0.0019142
15,120.191,2.68133,1.42319,2.04092,0.62752,0.84258,0.84384,0.32789,2.35015,1.3213,2.01667,0.0019076,0.0019076,0.0019076
16,126.726,2.61993,1.39978,2.05653,0.80032,0.75,0.83892,0.26114,2.41616,1.17014,2.0172,0.001901,0.001901,0.001901
17,134.266,2.63287,1.39475,1.98922,0.87891,0.71429,0.89762,0.4002,2.09388,1.0663,1.92825,0.0018944,0.0018944,0.0018944
18,140.881,2.57502,1.36525,1.98711,0.64025,0.67857,0.63186,0.17583,2.41887,1.57907,2.10659,0.0018878,0.0018878,0.0018878
19,148.258,2.52228,1.34336,1.98839,0.74772,0.78571,0.87738,0.32127,2.23204,1.16918,2.00071,0.0018812,0.0018812,0.0018812
20,154.832,2.47237,1.33694,1.98726,0.52184,0.71429,0.62106,0.19306,2.43832,1.57879,2.12251,0.0018746,0.0018746,0.0018746
21,162.007,2.43012,1.31958,1.97161,0.84741,0.67857,0.86515,0.29993,2.28518,1.07191,2.0122,0.001868,0.001868,0.001868
22,168.84,2.44079,1.26955,1.95288,0.91351,0.75461,0.92853,0.35526,2.1119,1.04112,1.92944,0.0018614,0.0018614,0.0018614
23,175.756,2.34767,1.21971,1.92976,0.9197,0.81826,0.95069,0.34096,2.30626,1.05768,1.97457,0.0018548,0.0018548,0.0018548
24,182.965,2.31912,1.18899,1.90638,0.78028,0.78571,0.8887,0.3082,2.40781,1.05563,2.01676,0.0018482,0.0018482,0.0018482
25,189.496,2.38881,1.18931,1.9416,0.91215,0.96429,0.97659,0.3642,2.15129,0.92505,1.96975,0.0018416,0.0018416,0.0018416
26,196.717,2.2714,1.14846,1.8983,0.86374,0.9058,0.95281,0.27589,2.44754,1.10615,1.95568,0.001835,0.001835,0.001835
27,203.27,2.25049,1.13657,1.88352,0.94631,0.85714,0.91867,0.31866,2.31185,0.99414,1.98598,0.0018284,0.0018284,0.0018284
28,210.58,2.21196,1.12385,1.85258,0.96583,0.85714,0.97689,0.38788,1.97564,0.86012,1.9221,0.0018218,0.0018218,0.0018218
29,217.34,2.20911,1.1089,1.85742,0.98308,0.85714,0.9751,0.53762,1.73261,0.81022,1.76254,0.0018152,0.0018152,0.0018152
30,224.596,2.14898,1.05009,1.83133,0.93207,0.98041,0.9905,0.4845,1.77272,0.85322,1.75001,0.0018086,0.0018086,0.0018086
31,231.117,2.17502,1.08873,1.83922,0.96167,0.89613,0.98614,0.39518,2.07267,0.97303,1.93092,0.001802,0.001802,0.001802
32,238.352,2.24547,1.13808,1.8208,1,0.81839,0.95462,0.48636,1.90876,0.89309,1.79099,0.0017954,0.0017954,0.0017954
33,245.404,2.13167,1.07783,1.82527,0.89203,0.88546,0.92363,0.47571,1.85042,0.88,1.77887,0.0017888,0.0017888,0.0017888
34,252.266,2.14314,1.08093,1.82044,0.92965,0.96429,0.98187,0.46681,1.81957,0.85175,1.79273,0.0017822,0.0017822,0.0017822
35,259.51,2.07839,1.04106,1.78985,0.99786,0.89286,0.97525,0.45528,1.86321,0.91771,1.83149,0.0017756,0.0017756,0.0017756
36,266.063,2.11523,1.05276,1.82032,0.98474,0.96429,0.993,0.48941,1.77631,0.8022,1.7989,0.001769,0.001769,0.001769
37,273.414,2.03739,0.98248,1.7916,0.9726,0.85714,0.97403,0.49316,1.82581,0.77583,1.76515,0.0017624,0.0017624,0.0017624
38,279.971,2.05453,1.0069,1.77047,0.93236,0.98495,0.98679,0.45135,1.87828,0.88526,1.84333,0.0017558,0.0017558,0.0017558
39,287.306,2.11469,1.03701,1.78214,0.95764,0.80776,0.95961,0.45786,1.86194,0.87129,1.7903,0.0017492,0.0017492,0.0017492
40,293.821,2.08518,1.03305,1.77781,0.95227,0.85714,0.96908,0.34975,2.07393,0.93684,1.85804,0.0017426,0.0017426,0.0017426
41,301.065,2.13425,1.0469,1.76776,0.91365,0.89286,0.95136,0.34783,2.24805,0.99053,1.89982,0.001736,0.001736,0.001736
42,307.924,2.12214,1.06542,1.8131,0.9564,0.96429,0.9865,0.49548,1.69194,0.81444,1.75392,0.0017294,0.0017294,0.0017294
43,314.886,2.06918,1.03029,1.77155,0.83435,0.78571,0.91348,0.35447,2.02909,0.90579,1.8591,0.0017228,0.0017228,0.0017228
44,322.238,2.04236,1.00904,1.76968,0.90603,0.96429,0.9736,0.45494,1.82719,0.85222,1.81949,0.0017162,0.0017162,0.0017162
45,328.798,1.99026,0.97754,1.74354,0.92866,1,0.98367,0.49379,1.73173,0.8072,1.76422,0.0017096,0.0017096,0.0017096
46,336.192,2.00889,0.98248,1.76224,0.89898,0.95377,0.96388,0.38186,2.01064,0.89557,1.76511,0.001703,0.001703,0.001703
47,342.773,2.05313,1.02948,1.74622,0.98326,0.89286,0.97875,0.44609,1.84245,0.84828,1.80194,0.0016964,0.0016964,0.0016964
48,349.99,2.00648,0.97891,1.73137,0.86492,1,0.96639,0.43269,1.96093,0.87117,1.81072,0.0016898,0.0016898,0.0016898
49,356.521,1.99808,0.98455,1.73946,0.8029,0.87319,0.89303,0.39509,2.02612,0.93699,1.84352,0.0016832,0.0016832,0.0016832
50,363.786,2.05158,1.04778,1.76161,0.92451,0.96429,0.96763,0.44889,1.76598,0.91021,1.75304,0.0016766,0.0016766,0.0016766
51,370.374,2.04304,1.01584,1.75958,0.92201,0.96429,0.98331,0.45913,1.711,0.80008,1.75436,0.00167,0.00167,0.00167
52,377.567,1.97837,0.98372,1.74766,0.93041,0.96429,0.9684,0.41398,2.05468,0.80175,1.87178,0.0016634,0.0016634,0.0016634
53,384.436,1.99712,0.99232,1.72974,0.82051,0.97985,0.97021,0.37258,2.06063,0.97173,1.94718,0.0016568,0.0016568,0.0016568
54,391.254,1.99766,0.98938,1.7538,0.92197,1,0.98907,0.42776,2.02281,0.81353,1.79965,0.0016502,0.0016502,0.0016502
55,398.616,1.99494,0.94666,1.73776,0.93155,0.97228,0.98679,0.47981,1.78263,0.83386,1.68154,0.0016436,0.0016436,0.0016436
56,405.26,1.97478,0.98374,1.74466,1,0.98792,0.995,0.48167,1.73544,0.83822,1.74243,0.001637,0.001637,0.001637
57,412.559,1.96296,0.99906,1.72286,0.9528,1,0.99259,0.49676,1.74608,0.77702,1.73479,0.0016304,0.0016304,0.0016304
58,419.07,1.94458,0.97749,1.72444,0.90083,1,0.97987,0.42442,2.00508,0.82577,1.88013,0.0016238,0.0016238,0.0016238
59,426.414,1.93472,0.95826,1.70613,0.9628,1,0.99397,0.42509,1.82457,0.77412,1.77978,0.0016172,0.0016172,0.0016172
60,433.082,1.95496,0.96191,1.70414,0.90121,0.97766,0.98267,0.50179,1.72185,0.81255,1.7187,0.0016106,0.0016106,0.0016106
61,440.293,1.93589,0.94553,1.71274,0.90235,1,0.96792,0.50296,1.68008,0.78617,1.7177,0.001604,0.001604,0.001604
62,447.194,1.9016,0.94407,1.66795,0.92639,1,0.98679,0.43335,1.85959,0.79599,1.74933,0.0015974,0.0015974,0.0015974
63,454.062,1.85626,0.92881,1.66165,0.92852,0.92793,0.94407,0.49151,1.65962,0.78863,1.68025,0.0015908,0.0015908,0.0015908
64,461.35,1.93763,0.93514,1.68364,0.88812,1,0.98014,0.50264,1.80828,0.81867,1.71665,0.0015842,0.0015842,0.0015842
65,468.013,1.90042,0.94815,1.65551,0.89321,0.96429,0.94784,0.45145,1.87486,0.82438,1.74014,0.0015776,0.0015776,0.0015776
66,475.377,1.88879,0.91881,1.6615,0.92712,1,0.98922,0.45086,1.77723,0.77884,1.69012,0.001571,0.001571,0.001571
67,481.945,1.88819,0.92193,1.65136,0.79498,0.96429,0.96841,0.46807,1.79499,0.87075,1.72675,0.0015644,0.0015644,0.0015644
68,489.243,1.8835,0.93551,1.67003,0.93123,1,0.98663,0.4155,1.85616,0.84969,1.78966,0.0015578,0.0015578,0.0015578
69,495.797,1.90036,0.93789,1.68266,1,0.98833,0.995,0.49658,1.80664,0.76611,1.71447,0.0015512,0.0015512,0.0015512
70,503.105,1.91799,0.93804,1.66973,0.9286,1,0.98774,0.46079,1.82445,0.83774,1.71463,0.0015446,0.0015446,0.0015446
71,509.866,1.87799,0.9369,1.64272,0.92906,1,0.98515,0.48465,1.73124,0.77118,1.73431,0.001538,0.001538,0.001538
72,516.834,1.88334,0.91935,1.6307,0.89782,1,0.98675,0.43757,1.81153,0.78744,1.74697,0.0015314,0.0015314,0.0015314
73,524.056,1.92348,0.90914,1.64511,0.95778,1,0.99017,0.45861,1.76755,0.77787,1.68435,0.0015248,0.0015248,0.0015248
74,530.846,1.87602,0.91208,1.64493,0.94659,1,0.99155,0.45858,1.63669,0.76463,1.6569,0.0015182,0.0015182,0.0015182
75,538.135,1.87996,0.92167,1.65265,0.95722,0.89286,0.97817,0.44902,1.73313,0.84195,1.68353,0.0015116,0.0015116,0.0015116
76,544.675,1.87725,0.94583,1.63338,0.96393,0.95463,0.98514,0.50447,1.64455,0.8043,1.69969,0.001505,0.001505,0.001505
77,551.946,1.87976,0.92309,1.64312,0.89089,1,0.96883,0.49626,1.60976,0.75209,1.66333,0.0014984,0.0014984,0.0014984
78,558.57,1.82054,0.88858,1.62968,0.92786,1,0.98774,0.47151,1.72878,0.73993,1.7075,0.0014918,0.0014918,0.0014918
79,565.826,1.84295,0.89292,1.65592,0.87265,1,0.98466,0.47021,1.6893,0.80944,1.69046,0.0014852,0.0014852,0.0014852
80,572.374,1.90461,0.94105,1.66644,0.88969,0.96429,0.96523,0.40089,1.90015,0.80261,1.83129,0.0014786,0.0014786,0.0014786
81,579.628,1.87925,0.93656,1.64808,0.93144,1,0.98287,0.4111,1.79288,0.85611,1.76094,0.001472,0.001472,0.001472
82,586.749,1.90932,0.90986,1.64998,0.96521,0.99107,0.97293,0.46189,1.7325,0.8163,1.65109,0.0014654,0.0014654,0.0014654
83,593.702,1.87628,0.91169,1.66896,0.92946,1,0.98515,0.42326,1.80305,0.80312,1.74019,0.0014588,0.0014588,0.0014588
84,600.918,1.82773,0.89528,1.62167,0.9569,1,0.99259,0.45089,1.81978,0.78144,1.70288,0.0014522,0.0014522,0.0014522
85,607.459,1.83305,0.8953,1.6456,0.92222,1,0.96867,0.49589,1.61442,0.72005,1.6474,0.0014456,0.0014456,0.0014456
86,614.678,1.80871,0.89661,1.62308,0.95973,1,0.99155,0.46418,1.77991,0.7765,1.70071,0.001439,0.001439,0.001439
87,621.214,1.84886,0.87715,1.63576,0.93167,0.9741,0.98907,0.4782,1.75264,0.73741,1.67277,0.0014324,0.0014324,0.0014324
88,628.486,1.88567,0.9093,1.64066,0.84379,0.96429,0.95491,0.44584,1.71242,0.83126,1.62749,0.0014258,0.0014258,0.0014258
89,634.998,1.81954,0.89557,1.62303,0.93297,1,0.98914,0.40859,1.82008,0.82052,1.79776,0.0014192,0.0014192,0.0014192
90,642.285,1.83416,0.88468,1.60867,0.96513,0.98891,0.98776,0.51251,1.57614,0.75065,1.63437,0.0014126,0.0014126,0.0014126
91,648.947,1.82711,0.87241,1.60836,0.96519,0.9905,0.99259,0.45748,1.76934,0.74498,1.70726,0.001406,0.001406,0.001406
92,656.124,1.83929,0.87555,1.61497,0.92881,1,0.99033,0.46977,1.75043,0.71947,1.68979,0.0013994,0.0013994,0.0013994
93,663.379,1.81404,0.88834,1.60292,0.93057,1,0.98774,0.48067,1.72081,0.71602,1.64874,0.0013928,0.0013928,0.0013928
94,670.098,1.81392,0.85794,1.58727,0.96538,0.99591,0.99259,0.49557,1.61224,0.75424,1.62044,0.0013862,0.0013862,0.0013862
95,677.406,1.81179,0.8794,1.6025,0.93277,0.99121,0.98774,0.47741,1.65686,0.73129,1.68747,0.0013796,0.0013796,0.0013796
96,683.97,1.83977,0.88389,1.61266,0.92742,1,0.98367,0.43108,1.81318,0.76687,1.67141,0.001373,0.001373,0.001373
97,691.306,1.83862,0.89616,1.60806,0.92636,1,0.98833,0.48376,1.72344,0.73107,1.70943,0.0013664,0.0013664,0.0013664
98,697.853,1.81543,0.89426,1.59988,0.96534,1,0.99155,0.41117,1.89595,0.77723,1.76923,0.0013598,0.0013598,0.0013598
99,705.225,1.8262,0.87946,1.61009,0.96532,0.99433,0.99017,0.50871,1.62512,0.71593,1.63413,0.0013532,0.0013532,0.0013532
100,711.756,1.78044,0.85068,1.57538,0.93293,0.99368,0.9905,0.42365,2.14674,0.83312,1.90733,0.0013466,0.0013466,0.0013466
101,718.91,1.82017,0.85915,1.61981,0.96527,0.99274,0.99017,0.5183,1.69819,0.70703,1.63519,0.00134,0.00134,0.00134
102,725.994,1.85761,0.90091,1.60681,0.96423,0.96281,0.99157,0.48953,1.61287,0.77641,1.6143,0.0013334,0.0013334,0.0013334
103,732.823,1.79192,0.86576,1.59155,0.90264,0.99353,0.97883,0.47124,1.77935,0.77326,1.72238,0.0013268,0.0013268,0.0013268
104,740.071,1.81856,0.85971,1.6201,0.94807,1,0.99017,0.49086,1.73013,0.74071,1.72881,0.0013202,0.0013202,0.0013202
105,746.664,1.80483,0.8579,1.61592,0.89762,1,0.98452,0.49877,1.70818,0.72483,1.60546,0.0013136,0.0013136,0.0013136
106,753.89,1.80562,0.87269,1.61323,0.9575,0.92857,0.98304,0.47451,1.82751,0.78591,1.69702,0.001307,0.001307,0.001307
107,760.534,1.7867,0.85794,1.5894,0.98807,0.92857,0.99157,0.43632,1.66012,0.74834,1.64349,0.0013004,0.0013004,0.0013004
108,767.879,1.73632,0.84158,1.57077,0.95939,1,0.99017,0.5418,1.59946,0.7016,1.60939,0.0012938,0.0012938,0.0012938
109,774.471,1.84458,0.87893,1.56666,0.96054,1,0.99017,0.51923,1.6879,0.69767,1.62627,0.0012872,0.0012872,0.0012872
110,781.856,1.77386,0.85273,1.55065,0.95716,1,0.98914,0.4979,1.72395,0.70217,1.66674,0.0012806,0.0012806,0.0012806
111,788.631,1.78984,0.8621,1.58741,0.95174,1,0.99155,0.47895,1.7725,0.7495,1.64497,0.001274,0.001274,0.001274
112,795.659,1.79858,0.88216,1.58142,0.96325,1,0.99155,0.50508,1.62671,0.70799,1.64376,0.0012674,0.0012674,0.0012674
113,802.878,1.8261,0.87076,1.60058,0.89526,1,0.98563,0.40649,2.10858,0.82026,1.81894,0.0012608,0.0012608,0.0012608
114,809.525,1.87362,0.87548,1.62051,0.95954,1,0.99259,0.51932,1.68369,0.68075,1.66357,0.0012542,0.0012542,0.0012542
115,816.746,1.7572,0.8608,1.55632,0.95493,1,0.995,0.48728,1.68319,0.76832,1.58258,0.0012476,0.0012476,0.0012476
116,823.351,1.75431,0.87477,1.57736,0.92888,1,0.98774,0.50336,1.74479,0.73081,1.73131,0.001241,0.001241,0.001241
117,830.726,1.73374,0.82249,1.57723,0.96107,1,0.98914,0.46052,1.88685,0.76188,1.69769,0.0012344,0.0012344,0.0012344
118,837.234,1.78855,0.82791,1.55331,0.957,1,0.99017,0.4831,1.78761,0.75844,1.70341,0.0012278,0.0012278,0.0012278
119,844.517,1.77201,0.83582,1.56538,0.96045,0.96429,0.9871,0.4482,1.8623,0.76945,1.63464,0.0012212,0.0012212,0.0012212
120,851.075,1.71371,0.82447,1.53355,0.93021,1,0.98922,0.47182,1.73211,0.69715,1.75973,0.0012146,0.0012146,0.0012146
121,858.443,1.72135,0.83899,1.5637,0.9282,1,0.97697,0.51214,1.67462,0.66099,1.68057,0.001208,0.001208,0.001208
122,865.663,1.74207,0.81687,1.54255,0.92888,1,0.97443,0.45688,1.79122,0.69138,1.66656,0.0012014,0.0012014,0.0012014
123,872.451,1.76812,0.85397,1.57307,0.99544,1,0.995,0.52784,1.57384,0.68637,1.62715,0.0011948,0.0011948,0.0011948
124,879.683,1.80421,0.84542,1.57454,0.99602,1,0.995,0.51594,1.61288,0.68377,1.63182,0.0011882,0.0011882,0.0011882
125,886.322,1.75436,0.83459,1.56109,0.92911,1,0.98922,0.46877,1.72812,0.78669,1.67009,0.0011816,0.0011816,0.0011816
126,893.678,1.79551,0.84269,1.56863,0.95746,1,0.99017,0.47855,1.84318,0.73592,1.72624,0.001175,0.001175,0.001175
127,900.229,1.80191,0.85861,1.59679,0.92952,1,0.98679,0.48966,1.77068,0.69911,1.69733,0.0011684,0.0011684,0.0011684
