epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3573,6.19624,4.92815,4.51519,0,0,0,0,6.48718,4.2389,4.17036,0.00042,0.00042,0.00042
2,18.2528,5.32569,3.80058,4.05738,0,0,0,0,6.50993,4.33663,4.23558,0.00081743,0.00081743,0.00081743
3,22.0368,4.59111,3.08007,3.54314,0,0,0,0,6.54069,4.62117,4.39678,0.0011713,0.0011713,0.0011713
4,25.7197,4.03544,2.56378,3.18413,0,0,0,0,6.53553,5.05254,4.5421,0.00148161,0.00148161,0.00148161
5,29.3313,3.68123,2.23324,2.90776,0,0,0,0,6.53795,5.09606,4.57762,0.001604,0.001604,0.001604
6,33.0075,3.46745,2.08518,2.7404,0,0,0,0,6.47584,4.23115,4.30893,0.001505,0.001505,0.001505
7,36.5572,3.36798,1.97349,2.66602,0.29138,0.33871,0.18559,0.03522,3.36313,2.07024,2.77263,0.001406,0.001406,0.001406
8,40.2148,3.17464,1.86589,2.54516,0.43019,0.51613,0.36498,0.09059,2.8832,2.01447,2.60235,0.001307,0.001307,0.001307
9,43.8266,3.0737,1.76368,2.56464,0.31747,0.44355,0.24823,0.05004,3.2538,1.93032,2.61096,0.001208,0.001208,0.001208
10,47.4381,2.983,1.75275,2.4334,0.55933,0.51613,0.51621,0.1862,2.51662,1.79626,2.29101,0.001109,0.001109,0.001109
11,84.2471,2.64671,1.68733,2.13727,0.56121,0.54839,0.54647,0.14955,2.7135,1.42877,2.77222,0.00101,0.00101,0.00101
12,88.0088,2.63972,1.67971,2.09389,0.52385,0.6371,0.55364,0.16667,2.58576,1.38133,2.49103,0.000911,0.000911,0.000911
13,91.8905,2.48037,1.64141,2.06955,0.63086,0.65323,0.65437,0.22461,2.36165,1.3088,2.26901,0.000812,0.000812,0.000812
14,95.5516,2.52357,1.64798,2.09949,0.59117,0.70161,0.65424,0.23693,2.31916,1.36401,2.2485,0.000713,0.000713,0.000713
15,99.0732,2.38081,1.617,2.03234,0.61742,0.72883,0.66163,0.24684,2.26744,1.33357,2.24118,0.000614,0.000614,0.000614
16,102.671,2.30127,1.55414,1.95141,0.59127,0.72331,0.6484,0.22589,2.33629,1.29685,2.25347,0.000515,0.000515,0.000515
17,106.359,2.33584,1.58834,1.93989,0.67382,0.69972,0.69426,0.25595,2.28625,1.27511,2.15861,0.000416,0.000416,0.000416
18,109.958,2.2047,1.5064,1.98393,0.61736,0.79032,0.69634,0.27253,2.18293,1.25018,2.15119,0.000317,0.000317,0.000317
19,113.561,2.15315,1.49814,1.96523,0.68033,0.7552,0.74253,0.27544,2.19535,1.23869,2.14051,0.000218,0.000218,0.000218
20,117.21,2.17855,1.51447,1.92281,0.70731,0.65323,0.68358,0.26416,2.16757,1.26048,2.11858,0.000119,0.000119,0.000119
